200.00,200.00,200.00,200.00,295.21,358.69,363.57,363.57,361.13,356.25,358.69,358.69,358.69,358.69,358.69,390.43,409.96,441.70,431.93,412.40,441.70,392.87,373.34,392.87,390.43,392.87,373.34,373.34,373.34,353.81,331.84,334.28,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,217.09,200.00,200.00,200.00,200.00,200.00,200.00,256.15,392.87,451.46,424.61,324.51,314.75,373.34,510.06,490.53,348.93,290.33,200.00,200.00,236.62,295.21,200.00,275.68,451.46,324.51,292.77,363.57,407.52,558.89,583.30,505.18,256.15,256.15,402.64,256.15,295.21,471.00,685.84,605.27,549.12,607.71,529.59,246.39,434.38,475.88,466.11,480.76,685.84,720.02,468.55,529.59,705.37,754.20,685.84,646.78,607.71,568.65,241.50,348.93,529.59,510.06,436.82,519.82,558.89,685.84,715.14,680.96,568.65,505.18,588.18,593.07,600.39,646.78,637.01,529.59,549.12,471.00,412.40,446.58,441.70,1061.82,1286.43,998.34,778.61,637.01,529.59,480.76,441.70,407.52,402.64,392.87,368.46,373.34
24.90,24.98,25.01,25.03,25.05,25.05,25.05,25.05,25.04,25.02,25.02,25.01,24.99,24.97,24.96,24.95,24.94,24.91,24.90,24.89,24.89,24.91,24.93,24.96,25.01,25.05,25.10,25.15,25.24,25.28,25.36,25.44,25.01,24.44,24.08,23.89,23.87,23.71,23.45,23.33,23.13,22.87,22.73,22.69,22.61,22.51,22.43,22.37,22.24,21.82,21.41,21.24,20.76,20.49,20.24,19.99,19.75,19.54,19.43,19.29,19.13,19.07,19.08,18.98,18.96,18.91,19.00,19.21,19.33,19.34,19.37,19.31,19.19,19.14,19.12,19.16,19.01,18.99,18.94,18.95,18.91,19.02,19.17,19.38,19.51,19.51,19.56,19.65,19.63,19.64,19.65,19.64,19.68,19.72,19.75,19.75,19.78,19.82,19.82,19.81,19.88,19.86,19.81,19.79,19.77,19.72,19.69,19.64,19.60,19.55,19.52,19.52,19.50,19.47,19.47,19.66,19.67,19.68,19.63,19.66,19.62,19.60,19.57,19.54,19.47,19.43,19.39,19.35,19.40,19.34,19.25,19.09,18.99,18.93,18.88,18.81,18.78,18.78,18.83,19.11,19.19,19.20,19.20,19.12,19.10,19.11,18.96,18.90,18.88,18.88,18.83,18.80,18.82,18.92,19.12,19.31,19.41,19.57,19.65,19.71,19.73,19.72,19.73,19.73,19.73,19.74,19.75,19.72,19.69,19.69,19.70,19.67,19.64,19.50,19.36,19.26,19.17,19.27,19.33,19.40,19.49,19.57,19.76,19.98,20.16,20.31,20.48,20.70,20.89,21.06
1009.61,1009.62,1009.61,1009.62,1009.65,1009.62,1009.64,1009.66,1009.62,1009.65,1009.62,1009.62,1009.64,1009.65,1009.63,1009.62,1009.60,1009.62,1009.64,1009.60,1009.59,1009.65,1009.62,1009.64,1009.64,1009.63,1009.56,1009.60,1009.61,1009.59,1009.61,1009.58,1009.02,1003.47,998.39,995.63,996.04,997.42,997.28,997.94,998.92,998.91,999.09,1000.00,1000.71,1001.25,1001.95,1002.21,1003.00,1001.58,997.15,993.05,993.99,994.37,995.35,996.05,996.69,996.90,997.61,998.75,999.80,999.21,999.68,1000.53,1000.65,1001.97,1001.51,995.76,993.53,994.81,997.32,996.56,997.28,998.42,999.27,999.62,1000.43,1001.05,1001.59,1002.62,1002.66,1001.77,996.15,994.74,996.25,997.79,997.80,998.14,998.96,999.57,1000.22,1001.25,1001.23,1001.58,1002.00,1002.47,1002.67,1003.37,1003.66,1003.33,998.77,996.38,997.63,997.60,998.51,999.28,1000.21,1000.02,1001.41,1001.57,1002.40,1002.92,1003.96,1004.81,1000.53,995.02,997.43,997.95,999.69,999.25,1000.01,1000.81,1001.92,1002.28,1003.06,1003.13,1004.03,1004.84,1001.23,1000.07,1001.03,1002.68,1002.77,1002.85,1003.49,1004.48,1004.57,1005.11,1004.42,999.05,999.44,999.29,1000.40,1000.20,1000.22,1001.38,1001.76,1001.74,1002.20,1002.75,1003.02,1003.68,1003.80,1002.57,998.33,996.34,996.98,998.86,998.67,999.19,999.70,999.94,1001.02,1001.54,1002.06,1002.81,1003.05,1003.86,1004.76,1005.04,1006.59,1007.30,1006.87,1006.98,1008.36,1009.14,1009.71,1009.68,1009.71,1009.69,1009.71,1009.65,1009.67,1009.69,1009.67,1009.60,1009.61,1009.56,1009.45,1009.39
-44.04,-44.05,-43.69,-43.72,-43.91,-43.89,-44.04,-44.04,-43.83,-44.00,-43.97,-43.84,-44.08,-43.82,-43.86,-43.76,-43.99,-43.85,-43.91,-43.68,-43.56,-43.89,-43.85,-43.91,-44.15,-43.91,-43.91,-43.56,-43.77,-43.57,-43.66,-43.34,-33.78,12.48,55.78,73.97,70.02,57.52,59.73,54.81,45.16,46.09,45.26,37.92,30.17,23.83,19.41,17.77,12.13,25.41,66.44,97.16,87.80,83.04,75.86,69.57,64.37,62.85,55.15,46.96,40.23,42.38,38.12,32.62,29.89,17.82,33.02,78.90,89.86,79.08,59.05,65.02,58.66,49.36,43.56,38.26,32.59,26.01,22.22,14.78,13.09,26.13,75.64,79.93,65.89,55.73,54.89,52.20,45.06,39.73,34.19,26.75,25.40,23.02,18.88,15.97,12.79,7.69,5.47,15.21,53.16,67.41,55.96,54.25,48.29,42.65,34.11,35.96,25.05,22.49,16.73,10.23,3.69,-2.05,39.71,78.65,59.96,50.73,42.05,43.17,35.58,30.19,19.91,15.57,11.51,9.04,2.14,-3.29,30.30,36.62,25.96,14.51,12.31,11.62,6.28,-0.55,-1.69,-7.59,6.06,50.84,42.24,41.91,33.45,35.18,32.77,23.92,22.05,21.27,17.94,13.17,10.95,5.06,3.58,18.92,57.27,65.18,61.81,46.48,47.66,43.38,39.12,36.77,29.08,23.13,18.34,13.88,9.50,4.00,-2.52,-6.20,-19.76,-24.41,-19.47,-24.53,-33.71,-41.33,-44.28,-44.44,-44.63,-44.62,-44.36,-44.13,-44.23,-44.12,-44.40,-43.87,-43.79,-43.38,-42.33,-42.56
2,6,10,15,18,22,26,30,34,38,43,46,50,54,58,62,66,71,74,78,82,86,90,95,98,102,106,110,114,118,123,126,130,134,138,142,147,150,154,158,162,166,170,175,178,182,186,190,194,198,202,206,210,214,218,222,226,230,234,238,243,246,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399,403,407,411,415,419,423,427,431,435,439,443,447,451,455,459,463,467,471,475,479,483,487,491,495,499,503,507,511,515,519,523,527,531,535,539,543,547,551,555,559,563,567,571,575,579,583,587,591,595,599,603,607,611,615,619,623,627,631,635,639,643,647,651,655,659,663,667,671,675,679,683,687,691,695,699,703,707,711,715,719,723,727,731,735,739,743,747,751,755,759
024905.00,024909.00,024913.00,024917.00,024921.00,024925.00,024929.00,024933.00,024937.00,024941.00,024945.00,024949.00,024953.00,024957.00,025001.00,025005.00,025010.00,025013.00,025017.00,025018.00,025021.00,025025.00,025029.00,025033.00,025037.00,025041.00,025045.00,025049.00,025053.00,025057.00,025101.00,025105.00,025109.00,025113.00,025117.00,025121.00,025125.00,025129.00,025133.00,025137.00,025141.00,025145.00,025149.00,025153.00,025157.00,025201.00,025205.00,025209.00,025213.00,025217.00,025221.00,025225.00,025229.00,025233.00,025237.00,025241.00,025245.00,025249.00,025253.00,025257.00,025301.00,025305.00,025309.00,025313.00,025317.00,025321.00,025325.00,025329.00,025333.00,025337.00,025341.00,025345.00,025349.00,025353.00,025357.00,025401.00,025405.00,025409.00,025413.00,025417.00,025421.00,025425.00,025429.00,025433.00,025437.00,025441.00,025445.00,025449.00,025453.00,025457.00,025501.00,025505.00,025509.00,025513.00,025517.00,025521.00,025525.00,025529.00,025533.00,025537.00,025541.00,025545.00,025549.00,025553.00,025557.00,025601.00,025605.00,025609.00,025613.00,025617.00,025621.00,025625.00,025629.00,025633.00,025637.00,025641.00,025645.00,025649.00,025653.00,025657.00,025701.00,025705.00,025709.00,025713.00,025717.00,025721.00,025725.00,025729.00,025733.00,025737.00,025741.00,025745.00,025749.00,025753.00,025757.00,025801.00,025805.00,025809.00,025813.00,025817.00,025821.00,025825.00,025829.00,025833.00,025837.00,025841.00,025845.00,025849.00,025853.00,025857.00,025901.00,025905.00,025909.00,025913.00,025917.00,025921.00,025925.00,025929.00,025933.00,025937.00,025941.00,025945.00,025949.00,025953.00,025957.00,030001.00,030005.00,030009.00,030013.00,030017.00,030021.00,030025.00,030029.00,030033.00,030037.00,030041.00,030045.00,030049.00,030053.00,030057.00,030101.00,030105.00,030109.00,030113.00,030117.00,030121.00,030125.00,030129.00,030133.00,030137.00
12413.53609,12413.53658,12413.53675,12413.53697,12413.53712,12413.53699,12413.53700,12413.53705,12413.53714,12413.53728,12413.53736,12413.53750,12413.53743,12413.53747,12413.53752,12413.53752,12413.53740,12413.53728,12413.53721,12413.53731,12413.53731,12413.53725,12413.53724,12413.53725,12413.53711,12413.53696,12413.53718,12413.53744,12413.53730,12413.53688,12413.53697,12413.54011,12413.54047,12413.52001,12413.49765,12413.46170,12413.42708,12413.40817,12413.45051,12413.49372,12413.51734,12413.48371,12413.44416,12413.41417,12413.43310,12413.44934,12413.43763,12413.47069,12413.45643,12413.44057,12413.48121,12413.45515,12413.42984,12413.39842,12413.41401,12413.45463,12413.45297,12413.43000,12413.40310,12413.43167,12413.48248,12413.48597,12413.46347,12413.45404,12413.47110,12413.45325,12413.46684,12413.45894,12413.44477,12413.43601,12413.47101,12413.48178,12413.46850,12413.45788,12413.48956,12413.49552,12413.47107,12413.46150,12413.45919,12413.44594,12413.47983,12413.50657,12413.47702,12413.45642,12413.43646,12413.47438,12413.47841,12413.44822,12413.46442,12413.46527,12413.44158,12413.46111,12413.47939,12413.45130,12413.45347,12413.48566,12413.46962,12413.47064,12413.50443,12413.47967,12413.46764,12413.46222,12413.45744,12413.45642,12413.43583,12413.43898,12413.45420,12413.49021,12413.49034,12413.47317,12413.45061,12413.45054,12413.47763,12413.49632,12413.46999,12413.44169,12413.44059,12413.41213,12413.42120,12413.43694,12413.41278,12413.43578,12413.48086,12413.49157,12413.46536,12413.44972,12413.42889,12413.45902,12413.48113,12413.45371,12413.42638,12413.46170,12413.48754,12413.47426,12413.44937,12413.45536,12413.49454,12413.49147,12413.45789,12413.43167,12413.42036,12413.38846,12413.40682,12413.44374,12413.44877,12413.43002,12413.45453,12413.46143,12413.43335,12413.43226,12413.46604,12413.49361,12413.49797,12413.47578,12413.44687,12413.40939,12413.38495,12413.39824,12413.45279,12413.46901,12413.45353,12413.41782,12413.39584,12413.39593,12413.43570,12413.47087,12413.46166,12413.42818,12413.39296,12413.38880,12413.40773,12413.46018,12413.46865,12413.43752,12413.45310,12413.49134,12413.52558,12413.54636,12413.54666,12413.54684,12413.54696,12413.54702,12413.54724,12413.54618,12413.54339,12413.53915,12413.53554,12413.53641,12413.53756,12413.53656
4916.45499,4916.45511,4916.45521,4916.45528,4916.45522,4916.45473,4916.45490,4916.45482,4916.45487,4916.45510,4916.45540,4916.45554,4916.45540,4916.45503,4916.45500,4916.45497,4916.45483,4916.45447,4916.45418,4916.45440,4916.45440,4916.45459,4916.45476,4916.45486,4916.45504,4916.45514,4916.45547,4916.45561,4916.45587,4916.45690,4916.45941,4916.46135,4916.46230,4916.47643,4916.46584,4916.46954,4916.47103,4916.48409,4916.49905,4916.50212,4916.48361,4916.46508,4916.46569,4916.46352,4916.44438,4916.45944,4916.44764,4916.44531,4916.45439,4916.44019,4916.47166,4916.48689,4916.46874,4916.46562,4916.48602,4916.47348,4916.44164,4916.41757,4916.42813,4916.44486,4916.44619,4916.47371,4916.48524,4916.46846,4916.44414,4916.43359,4916.45969,4916.46953,4916.46192,4916.48405,4916.49533,4916.45754,4916.43539,4916.44656,4916.46457,4916.48648,4916.48456,4916.45672,4916.42721,4916.43700,4916.45805,4916.47752,4916.47800,4916.47345,4916.48807,4916.49531,4916.46212,4916.46444,4916.48456,4916.50485,4916.49224,4916.46819,4916.44129,4916.43679,4916.45920,4916.45149,4916.43576,4916.45396,4916.44575,4916.44013,4916.44463,4916.43197,4916.45981,4916.48623,4916.47928,4916.45525,4916.43076,4916.42915,4916.45055,4916.47079,4916.45800,4916.43422,4916.41892,4916.43505,4916.45471,4916.44446,4916.43486,4916.41265,4916.43586,4916.46577,4916.46661,4916.44631,4916.45007,4916.47461,4916.46982,4916.44437,4916.44379,4916.46097,4916.47413,4916.46378,4916.46830,4916.47980,4916.44947,4916.42432,4916.42754,4916.44710,4916.44479,4916.42397,4916.42741,4916.42602,4916.42736,4916.43506,4916.45339,4916.43642,4916.41293,4916.41544,4916.43801,4916.46171,4916.46592,4916.44575,4916.43559,4916.45043,4916.47374,4916.47823,4916.46532,4916.45365,4916.44358,4916.42014,4916.42195,4916.44698,4916.47248,4916.47813,4916.46149,4916.43237,4916.41783,4916.43526,4916.46323,4916.47638,4916.46314,4916.43290,4916.40765,4916.40966,4916.44021,4916.44016,4916.41462,4916.44078,4916.46490,4916.47180,4916.47169,4916.47148,4916.47126,4916.47105,4916.46887,4916.46570,4916.46286,4916.46138,4916.45983,4916.45742,4916.45558,4916.45542
105.6,106.0,106.9,108.0,107.9,107.5,108.0,108.4,108.6,108.9,108.9,108.8,108.8,108.6,108.4,108.2,107.3,106.8,106.3,106.7,106.7,106.5,106.2,106.4,106.6,107.1,107.6,108.5,108.2,107.4,107.0,108.6,124.4,168.1,214.2,223.4,221.0,214.2,213.7,209.9,201.1,203.9,201.4,194.4,189.9,181.2,178.5,174.8,192.6,205.7,244.7,254.1,245.9,237.7,231.2,226.3,222.9,218.8,206.6,200.3,193.8,189.5,185.4,185.9,180.0,168.9,204.0,249.3,245.1,227.7,219.0,220.1,211.9,203.9,200.8,191.7,186.2,178.9,173.7,168.1,163.4,187.9,236.9,232.9,217.2,210.7,208.4,205.8,200.0,193.9,185.1,180.6,173.0,173.6,169.2,169.6,162.7,159.8,158.4,188.7,220.5,215.0,208.7,204.7,198.8,196.2,187.1,181.8,177.7,172.8,168.4,161.8,158.9,166.5,173.7,182.6,180.4,159.4,166.2,165.0,160.0,158.4,154.0,145.6,144.6,141.8,137.4,137.2,146.3,148.2,132.6,132.7,130.5,127.4,122.5,121.9,121.6,118.9,139.3,181.5,178.3,176.6,177.6,180.6,180.2,177.9,177.4,176.7,175.5,171.7,169.9,167.2,160.5,159.7,187.0,182.1,178.1,177.9,176.9,175.5,173.7,170.8,172.1,166.4,161.6,161.9,152.8,149.1,147.4,143.2,135.7,130.9,129.6,119.7,115.7,111.5,109.7,110.0,109.8,109.4,108.2,107.2,106.6,106.6,107.7,107.5,107.4,108.1,108.5,108.5
